instance,min_fitness,max_fitness,mean,optimum
weing1,pso,100552,137828,121619.9,141278
weing2,pso,109247,130213,120489.9,130883
weing3,pso,82105,95677,91875.8,95677
weing4,pso,99873,107352,104692.5,119337
weing5,pso,81997,98796,93992.8,98796
weing7,pso,723315,819031,766202.3,1095445
weing6,pso,96097,130213,116644.4,130623
weing8,pso,489799,563758,519346.2,624319
