instance,min_fitness,max_fitness,mean,optimum
gk03,pso,5334,5438,5396.1,5656
gk04,pso,5501,5554,5522.7,0
gk05,pso,7191,7284,7218.1,0
gk07,pso,18349,18520,18436.7,0
gk01,pso,3523,3609,3563.8,3766
gk06,pso,7366,7446,7390.1,0
gk02,pso,3710,3787,3756.6,3958
