instance,min_fitness,max_fitness,mean,optimum
weing1,pso,140477,141278,141197.9,141278
weing2,pso,130723,130883,130771.0,130883
weing3,pso,94908,95677,95560.1,95677
weing4,pso,115831,119337,118986.4,119337
weing5,pso,98796,98796,98796.0,98796
weing7,pso,1095382,1095382,1095382.0,1095445
weing6,pso,130233,130233,130233.0,130623
weing8,pso,620060,624319,621619.3,624319
