instance,min_fitness,max_fitness,mean,optimum
gk10,pso,55434,55702,55588.0,0
gk03,pso,5339,5474,5407.5,5656
gk09,pso,55747,56073,55906.8,0
gk08,pso,18107,18216,18153.9,0
gk04,pso,5508,5653,5556.6,0
gk05,pso,7191,7289,7219.7,0
gk07,pso,18349,18520,18440.2,0
gk01,pso,3523,3643,3593.1,3766
gk06,pso,7366,7468,7396.4,0
gk02,pso,3710,3827,3778.1,3958
