instance,min_fitness,max_fitness,mean,optimum
gk03,pso,5635,5639,5637.1,5656
gk04,pso,5745,5753,5749.2,0
gk05,pso,7544,7552,7549.0,0
gk07,pso,19191,19210,19198.7,0
gk01,pso,3754,3759,3757.0,3766
gk06,pso,7643,7653,7648.7,0
gk02,pso,3943,3949,3948.4,3958
