instance,min_fitness,max_fitness,mean,optimum
gk03,pso,5368,5455,5411.9,5656
gk04,pso,5501,5571,5538.0,0
gk05,pso,7202,7284,7229.4,0
gk07,pso,18329,18490,18439.3,0
gk01,pso,3571,3631,3600.1,3766
gk06,pso,7343,7435,7393.7,0
gk02,pso,3778,3823,3797.7,3958
